0,-1,672,568,100,100,1,-1,-1,-1
0,-1,662,568,100,100,1,-1,-1,-1
0,-1,682,568,100,100,1,-1,-1,-1
1,-1,687,590,100,100,1,-1,-1,-1
1,-1,677,590,100,100,1,-1,-1,-1
1,-1,697,590,100,100,1,-1,-1,-1
2,-1,709,606,100,100,1,-1,-1,-1
2,-1,699,606,100,100,1,-1,-1,-1
2,-1,719,606,100,100,1,-1,-1,-1
3,-1,732,621,100,100,1,-1,-1,-1
3,-1,722,621,100,100,1,-1,-1,-1
3,-1,742,621,100,100,1,-1,-1,-1
4,-1,752,642,100,100,1,-1,-1,-1
4,-1,742,642,100,100,1,-1,-1,-1
4,-1,762,642,100,100,1,-1,-1,-1
5,-1,758,666,100,100,1,-1,-1,-1
5,-1,748,666,100,100,1,-1,-1,-1
5,-1,768,666,100,100,1,-1,-1,-1
6,-1,750,671,100,100,1,-1,-1,-1
6,-1,740,671,100,100,1,-1,-1,-1
6,-1,760,671,100,100,1,-1,-1,-1
7,-1,780,676,100,100,1,-1,-1,-1
7,-1,770,676,100,100,1,-1,-1,-1
7,-1,790,676,100,100,1,-1,-1,-1
8,-1,811,679,100,100,1,-1,-1,-1
8,-1,801,679,100,100,1,-1,-1,-1
8,-1,821,679,100,100,1,-1,-1,-1
9,-1,839,689,100,100,1,-1,-1,-1
9,-1,829,689,100,100,1,-1,-1,-1
9,-1,849,689,100,100,1,-1,-1,-1
10,-1,867,695,100,100,1,-1,-1,-1
10,-1,857,695,100,100,1,-1,-1,-1
10,-1,877,695,100,100,1,-1,-1,-1
11,-1,890,710,100,100,1,-1,-1,-1
11,-1,880,710,100,100,1,-1,-1,-1
11,-1,900,710,100,100,1,-1,-1,-1
12,-1,910,728,100,100,1,-1,-1,-1
12,-1,900,728,100,100,1,-1,-1,-1
12,-1,920,728,100,100,1,-1,-1,-1
13,-1,927,748,100,100,1,-1,-1,-1
13,-1,917,748,100,100,1,-1,-1,-1
13,-1,937,748,100,100,1,-1,-1,-1
14,-1,941,770,100,100,1,-1,-1,-1
14,-1,931,770,100,100,1,-1,-1,-1
14,-1,951,770,100,100,1,-1,-1,-1
15,-1,944,788,100,100,1,-1,-1,-1
15,-1,934,788,100,100,1,-1,-1,-1
15,-1,954,788,100,100,1,-1,-1,-1
